127.0.0.1 - - [03/Oct/2021:18:38:44 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [03/Oct/2021:18:38:44 +0900] "GET /studyhtml5/ch06/3.theFitness/enroll.html HTTP/1.1" 200 4014
0:0:0:0:0:0:0:1 - - [03/Oct/2021:18:38:44 +0900] "GET /studyhtml5/ch06/3.theFitness/css/style.css?ver=1.1 HTTP/1.1" 200 5325
0:0:0:0:0:0:0:1 - - [03/Oct/2021:18:38:44 +0900] "GET /studyhtml5/ch06/3.theFitness/script/main.js HTTP/1.1" 404 866
0:0:0:0:0:0:0:1 - - [03/Oct/2021:18:38:44 +0900] "GET /studyhtml5/ch06/3.theFitness/images/visual_img.png HTTP/1.1" 200 238080
0:0:0:0:0:0:0:1 - - [03/Oct/2021:18:38:44 +0900] "GET /studyhtml5/ch06/3.theFitness/images/logo.gif HTTP/1.1" 200 1547
0:0:0:0:0:0:0:1 - - [03/Oct/2021:18:38:44 +0900] "GET /studyhtml5/ch06/3.theFitness/images/side_banner.jpg HTTP/1.1" 200 32435
0:0:0:0:0:0:0:1 - - [03/Oct/2021:18:38:44 +0900] "GET /studyhtml5/ch06/3.theFitness/images/dotted.jpg HTTP/1.1" 200 507108
0:0:0:0:0:0:0:1 - - [03/Oct/2021:18:38:45 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [03/Oct/2021:19:07:25 +0900] "GET /studyhtml5/ch06/3.fitness-t/practice.html HTTP/1.1" 200 3658
0:0:0:0:0:0:0:1 - - [03/Oct/2021:19:07:25 +0900] "GET /studyhtml5/ch06/3.fitness-t/css/style2.css HTTP/1.1" 404 865
0:0:0:0:0:0:0:1 - - [03/Oct/2021:19:07:25 +0900] "GET /studyhtml5/ch06/3.fitness-t/script/main.js HTTP/1.1" 404 865
0:0:0:0:0:0:0:1 - - [03/Oct/2021:19:07:25 +0900] "GET /studyhtml5/ch06/3.fitness-t/images/visual_img.png HTTP/1.1" 200 238080
0:0:0:0:0:0:0:1 - - [03/Oct/2021:19:07:25 +0900] "GET /studyhtml5/ch06/3.fitness-t/images/logo.gif HTTP/1.1" 200 1547
0:0:0:0:0:0:0:1 - - [03/Oct/2021:19:07:25 +0900] "GET /studyhtml5/ch06/3.fitness-t/images/side_banner.jpg HTTP/1.1" 200 32435
0:0:0:0:0:0:0:1 - - [03/Oct/2021:19:09:23 +0900] "GET /studyhtml5/ch06/3.fitness-t/practice.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Oct/2021:19:09:23 +0900] "GET /studyhtml5/ch06/3.fitness-t/css/style2.css HTTP/1.1" 404 865
0:0:0:0:0:0:0:1 - - [03/Oct/2021:19:09:23 +0900] "GET /studyhtml5/ch06/3.fitness-t/script/main.js HTTP/1.1" 404 865
0:0:0:0:0:0:0:1 - - [03/Oct/2021:19:09:24 +0900] "GET /studyhtml5/ch06/3.fitness-t/practice.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Oct/2021:19:09:24 +0900] "GET /studyhtml5/ch06/3.fitness-t/css/style2.css HTTP/1.1" 404 865
0:0:0:0:0:0:0:1 - - [03/Oct/2021:19:09:24 +0900] "GET /studyhtml5/ch06/3.fitness-t/script/main.js HTTP/1.1" 404 865
0:0:0:0:0:0:0:1 - - [03/Oct/2021:19:10:51 +0900] "GET /studyhtml5/ch06/3.fitness-t/practice.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Oct/2021:19:10:51 +0900] "GET /studyhtml5/ch06/3.fitness-t/css/style2.css HTTP/1.1" 404 865
0:0:0:0:0:0:0:1 - - [03/Oct/2021:19:10:51 +0900] "GET /studyhtml5/ch06/3.fitness-t/script/main.js HTTP/1.1" 404 865
0:0:0:0:0:0:0:1 - - [03/Oct/2021:19:10:52 +0900] "GET /studyhtml5/ch06/3.fitness-t/practice.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Oct/2021:19:10:52 +0900] "GET /studyhtml5/ch06/3.fitness-t/css/style2.css HTTP/1.1" 404 865
0:0:0:0:0:0:0:1 - - [03/Oct/2021:19:10:52 +0900] "GET /studyhtml5/ch06/3.fitness-t/script/main.js HTTP/1.1" 404 865
0:0:0:0:0:0:0:1 - - [03/Oct/2021:19:10:53 +0900] "GET /studyhtml5/ch06/3.fitness-t/practice.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Oct/2021:19:10:53 +0900] "GET /studyhtml5/ch06/3.fitness-t/script/main.js HTTP/1.1" 404 865
0:0:0:0:0:0:0:1 - - [03/Oct/2021:19:10:53 +0900] "GET /studyhtml5/ch06/3.fitness-t/css/style2.css HTTP/1.1" 404 865
0:0:0:0:0:0:0:1 - - [03/Oct/2021:19:10:53 +0900] "GET /studyhtml5/ch06/3.fitness-t/practice.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Oct/2021:19:10:54 +0900] "GET /studyhtml5/ch06/3.fitness-t/css/style2.css HTTP/1.1" 404 865
0:0:0:0:0:0:0:1 - - [03/Oct/2021:19:10:54 +0900] "GET /studyhtml5/ch06/3.fitness-t/script/main.js HTTP/1.1" 404 865
0:0:0:0:0:0:0:1 - - [03/Oct/2021:19:11:27 +0900] "GET /studyhtml5/ch06/3.fitness-t/practice.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Oct/2021:19:11:27 +0900] "GET /studyhtml5/ch06/3.fitness-t/css/style2.css HTTP/1.1" 404 865
0:0:0:0:0:0:0:1 - - [03/Oct/2021:19:11:27 +0900] "GET /studyhtml5/ch06/3.fitness-t/script/main.js HTTP/1.1" 404 865
0:0:0:0:0:0:0:1 - - [03/Oct/2021:19:11:28 +0900] "GET /studyhtml5/ch06/3.fitness-t/practice.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Oct/2021:19:11:28 +0900] "GET /studyhtml5/ch06/3.fitness-t/css/style2.css HTTP/1.1" 404 865
0:0:0:0:0:0:0:1 - - [03/Oct/2021:19:11:28 +0900] "GET /studyhtml5/ch06/3.fitness-t/script/main.js HTTP/1.1" 404 865
0:0:0:0:0:0:0:1 - - [03/Oct/2021:19:11:32 +0900] "GET /studyhtml5/ch06/3.fitness-t/practice.html HTTP/1.1" 200 3658
0:0:0:0:0:0:0:1 - - [03/Oct/2021:19:11:32 +0900] "GET /studyhtml5/ch06/3.fitness-t/css/style2.css HTTP/1.1" 404 865
0:0:0:0:0:0:0:1 - - [03/Oct/2021:19:11:32 +0900] "GET /studyhtml5/ch06/3.fitness-t/script/main.js HTTP/1.1" 404 865
0:0:0:0:0:0:0:1 - - [03/Oct/2021:19:11:32 +0900] "GET /studyhtml5/ch06/3.fitness-t/images/logo.gif HTTP/1.1" 200 1547
0:0:0:0:0:0:0:1 - - [03/Oct/2021:19:11:32 +0900] "GET /studyhtml5/ch06/3.fitness-t/images/visual_img.png HTTP/1.1" 200 238080
0:0:0:0:0:0:0:1 - - [03/Oct/2021:19:11:32 +0900] "GET /studyhtml5/ch06/3.fitness-t/images/side_banner.jpg HTTP/1.1" 200 32435
